frame,t_norm,cam_x_m,cam_y_m,cam_z_m,observer_x_m,observer_y_m,observer_z_m,distance_m,azimuth_deg,altitude_m
36,0.18090452261306533,165.6281407035176,0.0,-50.0,0.0,0.0,-50.0,165.6281407035176,0.0,50.0
37,0.18592964824120603,164.67336683417085,0.0,-50.0,0.0,0.0,-50.0,164.67336683417085,0.0,50.0
38,0.19095477386934673,163.71859296482413,0.0,-50.0,0.0,0.0,-50.0,163.71859296482413,0.0,50.0
39,0.19597989949748743,162.7638190954774,0.0,-50.0,0.0,0.0,-50.0,162.7638190954774,0.0,50.0
40,0.20100502512562815,161.80904522613065,0.0,-50.0,0.0,0.0,-50.0,161.80904522613065,0.0,50.0
41,0.20603015075376885,160.85427135678393,0.0,-50.0,0.0,0.0,-50.0,160.85427135678393,0.0,50.0
42,0.21105527638190955,159.8994974874372,0.0,-50.0,0.0,0.0,-50.0,159.8994974874372,0.0,50.0
43,0.21608040201005024,158.94472361809045,0.0,-50.0,0.0,0.0,-50.0,158.94472361809045,0.0,50.0
44,0.22110552763819097,157.98994974874373,0.0,-50.0,0.0,0.0,-50.0,157.98994974874373,0.0,50.0
45,0.22613065326633167,157.03517587939697,0.0,-50.0,0.0,0.0,-50.0,157.03517587939697,0.0,50.0
46,0.23115577889447236,156.08040201005025,0.0,-50.0,0.0,0.0,-50.0,156.08040201005025,0.0,50.0
47,0.23618090452261306,155.12562814070353,0.0,-50.0,0.0,0.0,-50.0,155.12562814070353,0.0,50.0
48,0.24120603015075376,154.1708542713568,0.0,-50.0,0.0,0.0,-50.0,154.1708542713568,0.0,50.0
49,0.24623115577889448,153.21608040201005,0.0,-50.0,0.0,0.0,-50.0,153.21608040201005,0.0,50.0
50,0.25125628140703515,152.26130653266333,0.0,-50.0,0.0,0.0,-50.0,152.26130653266333,0.0,50.0
51,0.2562814070351759,151.30653266331657,0.0,-50.0,0.0,0.0,-50.0,151.30653266331657,0.0,50.0
52,0.2613065326633166,150.35175879396985,0.0,-50.0,0.0,0.0,-50.0,150.35175879396985,0.0,50.0
53,0.2663316582914573,149.39698492462313,0.0,-50.0,0.0,0.0,-50.0,149.39698492462313,0.0,50.0
54,0.271356783919598,148.44221105527637,0.0,-50.0,0.0,0.0,-50.0,148.44221105527637,0.0,50.0
